name,aspect,sentiment,confidence,quote
Анна,ux,positive,1.0,"В целом мне удобно. Главный экран настроила под себя: сверху карты, ниже быстрые переводы."
Анна,ux,negative,1.0,"Но вот что раздражает — пуши. Их слишком много. «У вас новое предложение по кредиту», «подключите страхование». Я выключила маркетинговые, но всё равно прорываются."
Анна,speed,neutral,1.0,"Зависания — редко. Раз в месяц. В основном когда делаю перевод по СБП в Озон-банк. Крутится долго, потом успешно."
Анна,support,positive,1.0,Переключилась на человека. Всё быстро — за 15 минут вернули.
Анна,support,negative,1.0,"Проблема в том, что бот отъедает первые пять минут."
Анна,price,positive,1.0,"У меня премиум-пакет, 700 рублей в месяц. Окупается, я трачу много, кэшбэк возвращает тысячи две-три."
Анна,price,negative,1.0,"Раздражает, что пакет постоянно пытаются «проапгрейдить»."
Игорь,ux,negative,1.0,"Шрифт. Мелкий. Я очки надеваю, чтобы перевести деньги. В настройках вроде можно увеличить, но не везде — в истории операций всё равно мелко."
Игорь,speed,negative,1.0,"Я скажу грубо — с начала ноября у меня три раза платёж зависал. Переводил деньги сыну, он в другом городе. Деньги со счёта списались, на карту не пришли. Висело двое суток."
Игорь,support,negative,1.0,"Первый раз ждал двадцать две минуты. Второй — сорок, я положил трубку. Третий — восемнадцать."
Игорь,support,positive,1.0,"Когда дозвонился, операторы вежливые, решают быстро."
Игорь,price,positive,1.0,"Зарплатный клиент, мне бесплатно."
Дарья,ux,positive,1.0,"В целом опрятно, тёмная тема есть."
Дарья,ux,negative,1.0,"Но анимации... когда я просто перевожу три тысячи маме, мне не нужно, чтобы приложение показывало фейерверк."
Дарья,speed,positive,1.0,У меня стабильно. За полгода один раз — по пятницам вечером видимо нагрузка. Но редкость.
Дарья,support,positive,1.0,"Я всё делаю в чате. Нормально. Иногда переписываюсь часами, если проблема не срочная. Плюс — можно скриншоты."
Дарья,price,neutral,1.0,"Плачу стандарт, 199 рублей. Нормально."
Сергей,ux,negative,1.0,"В «Олимпе» я потратил полдня, чтобы разобраться, где что. Сейчас шорткаты настроены, три нажатия — перевод. Но первое впечатление было — нагромождение, много баннеров."
Сергей,speed,negative,1.0,"Мобильное приложение работает, а интернет-банк (десктоп) иногда отваливается. Я с компьютера работаю с ИП. В конце квартала, когда всем плачу зарплаты, — лагает."
Сергей,speed,positive,1.0,Мобильное при этом бодрое.
Сергей,support,positive,1.0,Для ИП у меня отдельный менеджер. Телеграм-чат с ней. Отвечает в течение часа в рабочее время.
Сергей,support,neutral,1.0,Для физлиц у «Олимпа» с поддержкой средне.
Сергей,price,positive,1.0,Для физлиц — приемлемо.
Сергей,price,negative,1.0,Для ИП у «Олимпа» дорого. В ПСБ за то же самое плачу на треть меньше. Поэтому ИП перевёл туда.
