bank,name,aspect,sentiment,confidence,quote
dom_bank,Анна,speed,negative,0.9,"в целом, приложение удобное, но иногда подвисает – это бесит, когда клиент ждет."
dom_bank,Анна,speed,positive,0.8,"Да, переводы обычно шустрые, но бывают лаги в пиковые часы."
dom_bank,Анна,feature,negative,0.95,"Да, и нет шаблонов для повторяющихся переводов."
dom_bank,Анна,support,negative,0.95,"Поддержка – больная тема. Дозвониться невозможно, в чате бот тупит."
dom_bank,Анна,feature,positive,0.9,"Из плюсов – понятный календарь платежей. И то, что можно сохранить черновик заявки."
dom_bank,Анна,ux,positive,0.7,"Да, тёмная тема нужна. И чтобы переводы по номеру телефона работали без глюков."
dom_bank,Дмитрий,ux,positive,0.9,"Дизайн нравится, но функционал для бизнеса слабый. Я ожидал больше аналитики."
dom_bank,Дмитрий,speed,negative,0.9,"Заметил, что после обновления стало тормозить меню."
dom_bank,Дмитрий,ux,negative,0.95,У меня часто вылетает приложение при просмотре истории операций. Это лаги.
dom_bank,Дмитрий,feature,negative,0.9,Ещё уведомления приходят с задержкой в час. Критично для мониторинга платежей.
dom_bank,Дмитрий,support,negative,0.95,Я писал в чат – отвечали сутки. Это несерьёзно для банка.
dom_bank,Дмитрий,feature,positive,0.9,Мне нравится график курсов валют. Но хотелось бы push-уведомления о крупных движениях.
dom_bank,Дмитрий,feature,positive,0.7,Я бы добавил аналитику расходов и доходов. Как в Тинькове.
dom_bank,Елена,feature,positive,0.9,"Мне нравится, что легко отследить ипотеку."
dom_bank,Елена,support,negative,0.95,Но поддержка – просто ад.
dom_bank,Елена,ux,positive,0.8,"Зато оформление заявки на ипотеку – лучше, чем в Сбербанке."
dom_bank,Елена,support,negative,0.95,"Поддержка – просто тихий ужас. Вчера полчаса ждала ответа, потом сбросили."
dom_bank,Елена,feature,negative,0.9,"Я не могу отменить ошибочный перевод – только через поддержку, а она молчит."
dom_bank,Елена,support,negative,0.95,"Меня соединили с оператором, он не знал, что делать, переключил на другого – тот сбросил."
dom_bank,Елена,ux,positive,0.9,"Похвалю простой интерфейс ипотечного калькулятора. Он точный, в отличие от Райффайзена."
dom_bank,Елена,feature,positive,0.75,Мне не хватает push-уведомлений об изменении статуса ипотечной заявки.
dom_bank,Павел,speed,positive,0.9,Из плюсов – быстрые переводы по реквизитам.
dom_bank,Павел,feature,negative,0.95,"Меня бесит, что нельзя прикрепить несколько файлов к одному платежу."
dom_bank,Павел,ux,negative,0.9,"У меня лаги при входе – биометрия срабатывает через раз, потом требует пароль."
dom_bank,Павел,support,negative,0.95,"У меня случай – хотел заблокировать карту, пока ждал, карту взломали. Хорошо, сумма небольшая."
dom_bank,Павел,ux,positive,0.85,"Я ценю, что приложение не требует постоянного подтверждения. Но хочу тёмную тему."
dom_bank,Павел,feature,positive,0.7,И возможности оплатить несколько счетов одним скриншотом или QR.
polus_bank,Александр,speed,negative,1.0,"Больше всего бесит, когда перевод зависает. Особенно если клиенту нужно срочно. Был случай: отправил крупную сумму, а она 20 минут висела в статусе «обрабатывается»."
polus_bank,Александр,ux,positive,0.9,Дизайн стал красивее
polus_bank,Александр,ux,negative,0.9,но раньше быстрее работало.
polus_bank,Александр,feature,positive,1.0,плюс — быстрое открытие счёта. За пять минут оформил.
polus_bank,Александр,support,positive,1.0,"У меня был позитивный случай. Когда с карты списали лишнее, вернули за два дня."
polus_bank,Александр,support,negative,0.8,Но в целом скорость хромает.
polus_bank,Александр,price,negative,0.9,И убрать рекламу кредитов.
polus_bank,Елена,speed,negative,1.0,скорость оставляет желать лучшего. Особенно переводы между своими счетами — секунды висят.
polus_bank,Елена,ux,positive,0.9,Внешне всё симпатично
polus_bank,Елена,feature,positive,1.0,"А мне нравится, что лимиты на переводы высокие. Для премиум-клиентов это важно."
polus_bank,Елена,feature,negative,0.9,"Но иногда непонятно, почему операция блокируется."
polus_bank,Елена,support,negative,1.0,"Меня бесит, что в чате нельзя прикрепить скриншот."
polus_bank,Елена,price,negative,1.0,На днях предложили кредит под 20% — я в шоке. Для премиум-клиента это неуважение.
polus_bank,Дмитрий,speed,negative,0.8,иногда подвисает.
polus_bank,Дмитрий,ux,positive,0.8,"Пока что ни разу не было, чтобы деньги потерялись, но иногда подвисает. Но в целом я доволен."
polus_bank,Дмитрий,support,negative,1.0,"поддержка слабая. Чат-бот бестолковый, живого оператора ждать приходится долго."
polus_bank,Дмитрий,support,positive,1.0,А у меня поддержка однажды сработала на ура. Звонок — через минуту оператор. Вопрос про валютный счёт решили сразу.
polus_bank,Дмитрий,feature,negative,1.0,"А мне не нравится, что нет возможности отключить уведомления по категориям."
polus_bank,Дмитрий,price,negative,0.9,И ещё вот эти ненужные рекомендации кредитов — сразу снимают премиальность.
polus_bank,Ольга,feature,positive,1.0,"Функционал богатый: и биржевые котировки смотреть, и налоги платить."
polus_bank,Ольга,ux,negative,1.0,Но баги выбешивают. Недавно график курса валют не загружался — пришлось перезагружать.
polus_bank,Ольга,support,negative,1.0,"если проблема сложная, то переводят от одного к другому. Теряешь кучу времени."
polus_bank,Ольга,feature,negative,1.0,"Меня раздражает, что при смене устройства нужно проходить полную верификацию с паспортом."
polus_bank,Ольга,price,positive,1.0,кэшбэк у «Полюса» лучше по премиуму.
sfera_bank,Алексей,ux,positive,1.0,"Ну, глаз радует — дизайн современный, всё понятно."
sfera_bank,Алексей,feature,negative,1.0,"Бывает, что после обновления что-то ломается. Например, в прошлом месяце исчезла история операций, пришлось через поддержку восстанавливать."
sfera_bank,Алексей,speed,negative,1.0,"У меня тоже лаги. Особенно когда нужно срочно оплатить счёт, а приложение зависает на этапе подтверждения."
sfera_bank,Алексей,feature,negative,1.0,"И ещё — нет шаблонов для частых платежей, каждый раз вбиваешь реквизиты вручную."
sfera_bank,Алексей,support,negative,1.0,"Написал в чат — бот посоветовал переустановить. Я переустановил, не помогло. Потом оператор через час ответил: «Мы знаем об ошибке, исправим в следующем обновлении». То есть я должен ждать?"
sfera_bank,Алексей,price,positive,0.8,"Зато у «Сферы» интеграция с бухгалтерией лучше, я подключил к Эльбе — норм."
sfera_bank,Марина,ux,positive,1.0,"Согласна, внешне классно. Я быстро привыкла."
sfera_bank,Марина,speed,negative,1.0,"Но вот скорость — иногда переключаешься между счетами, а оно тупит секунды три. Для меня это критично, потому что клиенты ждут."
sfera_bank,Марина,feature,negative,1.0,"Когда отправляю деньги поставщикам, часто вылезает ошибка «повторите попытку». Приходится дублировать, а это время."
sfera_bank,Марина,support,negative,1.0,"Я вообще не дозвонилась. Номер платный, в очереди просидела 15 минут и бросила. В чате ответили через 40 минут. Для бизнеса это неприемлемо."
sfera_bank,Марина,feature,negative,1.0,"И лимиты! Я ИП, иногда нужно перевести больше 100 тысяч, а приложение не даёт — говорит, превышен суточный лимит. Приходится через веб-версию."
sfera_bank,Дмитрий,ux,positive,1.0,"Интерфейс удобный, но переводы бесят — то долго идут, то вообще ошибка вылетает."
sfera_bank,Дмитрий,speed,negative,1.0,"У меня в кофейне Wi-Fi не очень, так «Сфера» вообще может не загрузиться. Приходится перезаходить. Но на улице по 4G летает. В общем, сыровато."
sfera_bank,Дмитрий,feature,negative,1.0,"Переводы между юрлицами — просто кошмар. Иногда деньги уходят, но в истории висят как «в обработке» часами. Клиенты звонят, а я не знаю, что сказать."
sfera_bank,Дмитрий,feature,negative,1.0,"Сканер чеков через камеру — убожество. Ничего не распознаёт, проще вбить вручную."
sfera_bank,Дмитрий,support,negative,1.0,"Спокойно, у меня был случай, когда из-за их ошибки заблокировали счёт. Поддержка сказала: «Заполните форму на сайте». Я заполнил, ждал три дня. Потом пришло письмо — «ошибка с нашей стороны, извините». Никакой компенсации."
sfera_bank,Дмитрий,price,positive,1.0,"«Сфера» дешевле, но нервы дороже."
sfera_bank,Елена,ux,positive,1.0,"Я бы сказала, что приложение стабильное, но не без багов. Мне нравится, что можно быстро сформировать платёжку."
sfera_bank,Елена,feature,negative,1.0,Но вот уведомления иногда приходят с опозданием на час.
sfera_bank,Елена,support,negative,1.0,"Да, это катастрофа. Чат-бот тупит, отвечает шаблонами. Когда я жаловалась на задержку перевода, пришлось трижды объяснять ситуацию. Потом переключили на оператора, и он сказал «ждите 24 часа». В итоге перевод пришёл через двое суток."
sfera_bank,Елена,feature,negative,1.0,"Ещё бесит, что приложение не запоминает последний счёт. Я плачу налоги с одного счёта, а оно каждый раз переключает на другой."
sfera_bank,Елена,feature,negative,1.0,"Меня раздражает, что нельзя отменить перевод, если ошибся. Хотя бы на минуту давали возможность откатить."
sfera_bank,Елена,price,positive,1.0,"В целом, я всё равно рекомендую «Сферу» коллегам из-за низких тарифов. Но с оговоркой."
strela_bank,Дмитрий,ux,positive,0.9,"Ну, интерфейс вроде симпатичный, всё ярко, современно."
strela_bank,Дмитрий,speed,negative,0.9,"Но иногда тормозит, особенно когда срочно нужно перевести деньги."
strela_bank,Дмитрий,feature,positive,0.8,Ещё плюс — кэшбэк неплохой за повседневные покупки.
strela_bank,Дмитрий,speed,negative,0.9,У меня тоже было: перевод на карту другого банка ушёл полтора часа.
strela_bank,Дмитрий,feature,negative,0.9,И ещё: почему нет тёмной темы? Глаза вечером выжигает.
strela_bank,Дмитрий,support,negative,0.9,"Согласен, чатбот бесполезен. Отвечает шаблонно. Пришлось писать оператору, ждал 15 минут."
strela_bank,Дмитрий,feature,positive,0.8,Зато у «Стрелы» проценты на остаток выше. Я сравнивал.
strela_bank,Екатерина,ux,positive,0.9,"Мне нравится, что можно быстро оплатить по QR-коду в кафе."
strela_bank,Екатерина,speed,negative,0.9,"Но вот push-уведомления приходят с задержкой, иногда часами."
strela_bank,Екатерина,feature,positive,0.8,"Да, кэшбэк радует. Но хотелось бы больше категорий, а то везде 1%."
strela_bank,Екатерина,ux,negative,0.9,"А меня раздражает, что приложение вылетает, когда переходишь в раздел «Бонусы». Постоянно крашится."
strela_bank,Екатерина,support,positive,0.8,"У меня был случай: я не могла войти в приложение после обновления. Написала в чат — ответили через 20 минут, но решили проблему быстро. В принципе норм."
strela_bank,Екатерина,feature,negative,0.7,А ещё нет отдельного номера для срочных вопросов? Если карту заблокировать срочно — звонить по обычному?
strela_bank,Екатерина,speed,negative,0.9,"И чтобы push-уведомления приходили сразу, а не через полдня."
strela_bank,Алексей,ux,positive,0.8,"Дизайн — да, приятный."
strela_bank,Алексей,speed,negative,0.9,"Но для меня главное — стабильность. А она хромает: переводы зависают, баланс обновляется не сразу. У Тинькофф такого нет."
strela_bank,Алексей,speed,negative,0.9,"На днях переводил деньги другу, деньги списались, а у него появились только через час. Это жесть!"
strela_bank,Алексей,feature,negative,0.9,"Да, тёмная тема нужна. И ещё — авторизация по Face ID иногда тупит. Приходится вводить пароль вручную."
strela_bank,Алексей,support,negative,0.9,"А мне поддержка не нравится. Когда была задержка перевода, я звонил на горячую линию. Ждал 10 минут, потом оператор сказал, что проблема решается сама. Никакой конкретики."
strela_bank,Алексей,feature,positive,0.7,Тинькофф ещё и кэшбэк настраиваемый. У «Стрелы» он фиксированный.
strela_bank,Алексей,feature,negative,0.8,А ещё — улучшить сканер QR-кодов. Он иногда не срабатывает в темноте.
strela_bank,Мария,ux,positive,0.8,"А мне, наоборот, кажется, что приложение лёгкое, не нагружено лишним."
strela_bank,Мария,speed,negative,0.7,"Но соглашусь, бывают лаги."
strela_bank,Мария,feature,negative,0.9,"Меня больше бесит, что нет нормального поиска по операциям. Иногда нужно найти старый платёж — листать приходится."
strela_bank,Мария,support,positive,0.9,"Я обращалась один раз по поводу списания за подписку, которое не должно было быть. Девушка в чате всё объяснила, деньги вернули. Приятно удивило."
strela_bank,Мария,ux,positive,0.8,"«Стрела» интуитивнее, но надёжность подкачала."
strela_bank,Мария,feature,negative,0.8,Я бы добавила возможность привязки нескольких карт в одном приложении. Сейчас только одна.
vector_bank,Анна,ux,positive,1.0,"в целом приложение красивое, оформление приятное"
vector_bank,Анна,speed,negative,1.0,"Но бывает, что оно тупит, особенно когда нужна срочная операция"
vector_bank,Анна,speed,negative,1.0,"Переводила сестре на день рождения, а перевод ушёл только через сутки"
vector_bank,Анна,support,negative,0.9,Поддержка – это отдельная песня
vector_bank,Анна,feature,negative,1.0,"А меня бесит, что нельзя изменить лимиты на переводы в приложении – нужно звонить или идти в банк"
vector_bank,Анна,ux,negative,1.0,А ещё реклама кредитов и страховок внутри приложения... когда она выскакивает при каждом входе – бесит
vector_bank,Анна,feature,positive,1.0,"Да, кэшбэк хороший. В прошлом месяце получила 500 рублей кэшбэка на продукты"
vector_bank,Анна,support,negative,1.0,"Поддержку надо ускорить. И сделать нормальных ботов, чтобы они понимали запросы"
vector_bank,Анна,ux,negative,1.0,чтобы рекламу можно было отключить. Или хотя бы не так навязчиво
vector_bank,Дмитрий,ux,neutral,1.0,"Дизайн норм, но по функционалу – средненько"
vector_bank,Дмитрий,speed,negative,1.0,"Самое бесячее – это когда переводишь деньги, а они висят в статусе «обработка» по полчаса"
vector_bank,Дмитрий,feature,negative,1.0,"После обновления пропали некоторые функции, например быстрые шаблоны. Пришлось заново настраивать"
vector_bank,Дмитрий,speed,negative,1.0,"И уведомления приходят с задержкой. Часто вижу смс о списании уже после того, как сам всё проверил"
vector_bank,Дмитрий,feature,positive,1.0,"Нравится, что можно пополнить карту без комиссии с карт других банков. Удобно для такси – часто перевожу с разных карт"
vector_bank,Дмитрий,speed,negative,1.0,В первую очередь – стабильность переводов. Чтобы не висели
vector_bank,Дмитрий,feature,negative,1.0,И чтобы лимиты можно было менять в приложении
vector_bank,Дмитрий,speed,negative,1.0,"Да, и уведомления сделать моментальными. А то иногда приходит push через час"
vector_bank,Елена,ux,positive,1.0,"Мне нравится, что есть история операций и категории трат. Это удобно для планирования бюджета"
vector_bank,Елена,speed,negative,1.0,"Но иногда позарез нужно что-то сделать, а оно зависает"
vector_bank,Елена,support,negative,1.0,"Поддержка – это отдельная песня. Я писала в чат по поводу ошибочного списания – ответили через три дня, и то не решили проблему"
vector_bank,Елена,support,negative,1.0,"Очень. И боты тупые, и операторы долго отвечают"
vector_bank,Елена,speed,negative,1.0,Лаги при загрузке выписки. Когда нужно быстро посмотреть историю за месяц – ждёшь минуту
vector_bank,Елена,ux,positive,1.0,"Интерфейс современный, я как дизайнер ценю визуал. Плюс есть тёмная тема – глазу приятно"
vector_bank,Елена,feature,positive,1.0,"Хочется больше аналитики по расходам. Чтобы приложение само предлагало, где можно сэкономить"
vector_bank,Елена,feature,positive,1.0,И ещё – добавить больше категорий кэшбэка. Сейчас их мало
