id,headline,source
1,"Центробанк повысил ключевую ставку до 21% годовых",РБК
2,"ВЫ НЕ ПОВЕРИТЕ, что произошло с рублём за одну ночь!",Дзен
3,"Исследование: 40% россиян не имеют финансовой подушки безопасности",Ведомости
4,"Этот простой трюк с вкладом удвоит ваши сбережения за год",Дзен
5,"Минфин опубликовал проект федерального бюджета на 2026 год",ТАСС
6,"Шок! Известный экономист предсказал крах доллара к лету",Дзен
7,"Уровень безработицы в России снизился до 2.3% в марте 2025",Интерфакс
8,"Нейросеть заменит бухгалтеров уже через полгода — вот доказательства",Дзен
9,"Объём розничного кредитования вырос на 12% год к году",Коммерсантъ
10,"10 акций, которые сделают вас миллионером в 2026 году",Дзен
11,"Правительство утвердило план поддержки малого бизнеса",РИА Новости
12,"Экономисты пересмотрели прогноз роста ВВП с 2.8% до 2.3%",Ведомости
13,"Почему ВСЕ срочно забирают деньги из этого банка?!",Дзен
14,"Средняя зарплата в IT-секторе достигла 185 тысяч рублей",HeadHunter
15,"Один продукт в вашем холодильнике стоит дороже, чем вы думаете!",Дзен
16,"Набиуллина выступила с докладом о денежно-кредитной политике",РБК
17,"Индекс потребительских цен в апреле составил 0.5% м/м",Росстат
18,"Эксперт раскрыл секретную схему пассивного дохода без вложений",Дзен
19,"Сбер отчитался о чистой прибыли 1.6 трлн рублей за 2025 год",Коммерсантъ
20,"Срочно! Новый закон ЗАБЕРЁТ ваши накопления — что делать?!",Дзен
